date,open,close,raw_open,raw_close
2021-04-08,380,380.55,407.93,408.52
2021-04-09,380.43,383.32,408.39,411.49
2021-04-12,382.72,383.46,410.85,411.64
2021-04-13,383.35,384.59,411.53,412.86
2021-04-14,384.56,383.28,412.83,411.45
2021-04-15,385.41,387.4,413.74,415.87
2021-04-16,388.68,388.69,417.25,417.26
2021-04-19,387.76,386.78,416.26,415.21
2021-04-20,385.57,383.95,413.91,412.17
2021-04-21,383.33,387.58,411.51,416.07
2021-04-22,387.41,384.04,415.89,412.27
2021-04-23,384.6,388.21,412.87,416.74
2021-04-26,388.86,389.02,417.44,417.61
2021-04-27,389.31,388.93,417.93,417.52
2021-04-28,389.2,388.82,417.81,417.4
2021-04-29,391.54,391.3,420.32,420.06
2021-04-30,389.04,388.73,417.63,417.3
2021-05-03,390.71,389.57,419.43,418.2
2021-05-04,387.58,387.16,416.07,415.62
2021-05-05,388.8,387.28,417.38,415.75
2021-05-06,387.36,390.38,415.83,419.07
2021-05-07,391.14,393.22,419.89,422.12
2021-05-10,393.57,389.32,422.5,417.94
2021-05-11,384.82,385.85,413.1,414.21
2021-05-12,383.07,377.65,411.23,405.41
2021-05-13,379.2,382.19,407.07,410.28
2021-05-14,384.92,388.06,413.21,416.58
2021-05-17,386.95,387.03,415.39,415.48
2021-05-18,387.33,383.81,415.8,412.02
2021-05-19,379.06,382.65,406.92,410.78
2021-05-20,383.6,386.73,411.8,415.15
2021-05-21,388.33,386.57,416.87,414.98
2021-05-24,388.77,390.47,417.34,419.17
2021-05-25,391.55,389.69,420.33,418.33
2021-05-26,390.19,390.35,418.87,419.04
2021-05-27,391.4,390.48,420.17,419.18
2021-05-28,392.15,391.42,420.97,420.19
2021-06-01,393.64,390.94,422.57,419.67
2021-06-02,391.59,391.61,420.37,420.39
2021-06-03,389.24,390.15,417.85,418.83
2021-06-04,391.94,393.52,420.75,422.44
2021-06-07,393.66,393.35,422.59,422.26
2021-06-08,394.14,393.39,423.11,422.3
2021-06-09,394.21,392.8,423.18,421.67
2021-06-10,394,394.61,422.96,423.61
2021-06-11,395.16,395.26,424.2,424.31
2021-06-14,395.37,396.14,424.43,425.26
2021-06-15,396.29,395.42,425.42,424.48
2021-06-16,395.56,393.21,424.63,422.11
2021-06-17,392.8,393.08,421.67,421.97
2021-06-18,389.8,387.78,417.09,414.92
2021-06-21,389.53,393.33,416.8,420.86
2021-06-22,393.32,395.43,420.85,423.11
2021-06-23,395.5,394.95,423.19,422.6
2021-06-24,397.09,397.29,424.89,425.1
2021-06-25,398.04,398.7,425.9,426.61
2021-06-28,399.22,399.5,427.17,427.47
2021-06-29,399.89,399.72,427.88,427.7
2021-06-30,399.26,400.06,427.21,428.06
2021-07-01,400.81,402.27,428.87,430.43
2021-07-02,403.43,405.35,431.67,433.72
2021-07-06,405.4,404.61,433.78,432.93
2021-07-07,405.29,406.04,433.66,434.46
2021-07-08,400.73,402.73,428.78,430.92
2021-07-09,404.23,407.03,432.53,435.52
2021-07-12,406.94,408.49,435.43,437.08
2021-07-13,407.7,407.09,436.24,435.59
2021-07-14,408.78,407.7,437.4,436.24
2021-07-15,406.36,406.31,434.81,434.75
2021-07-16,407.49,403.12,436.01,431.34
2021-07-19,398.31,397.17,426.19,424.97
2021-07-20,397.83,402.86,425.68,431.06
2021-07-21,404.06,406.12,432.34,434.55
2021-07-22,406.3,406.97,434.74,435.46
2021-07-23,408.9,411.16,437.52,439.94
2021-07-26,410.57,412.17,439.31,441.02
2021-07-27,411.13,410.29,439.91,439.01
2021-07-28,410.92,410.12,439.68,438.83
2021-07-29,411.04,411.82,439.815,440.65
2021-07-30,409.26,409.82,437.91,438.51
2021-08-02,411.53,408.96,440.34,437.59
2021-08-03,409.76,412.29,438.44,441.15
2021-08-04,411.01,410.26,439.78,438.98
2021-08-05,411.42,412.86,440.22,441.76
2021-08-06,413.18,413.54,442.1,442.49
2021-08-09,413.51,413.21,442.46,442.13
2021-08-10,413.65,413.72,442.61,442.68
2021-08-11,414.78,414.75,443.82,443.78
2021-08-12,414.6,415.99,443.62,445.11
2021-08-13,416.44,416.75,445.59,445.92
2021-08-16,415.45,417.73,444.53,446.97
2021-08-17,415.18,414.99,444.24,444.04
2021-08-18,413.98,410.45,442.96,439.18
2021-08-19,407.73,411.08,436.27,439.86
2021-08-20,411.43,414.35,440.23,443.36
2021-08-23,416.04,418,445.16,447.26
2021-08-24,418.66,418.66,447.97,447.97
2021-08-25,418.85,419.54,448.17,448.91
2021-08-26,419.26,417.06,448.61,446.26
2021-08-27,417.87,420.79,447.12,450.25
2021-08-30,421.47,422.64,450.97,452.23
2021-08-31,422.55,422.02,452.13,451.56
2021-09-01,422.95,422.24,452.56,451.8
2021-09-02,423.66,423.54,453.32,453.19
2021-09-03,422.41,423.44,451.98,453.08
2021-09-07,423.09,421.92,452.71,451.46
2021-09-08,421.39,421.41,450.89,450.91
2021-09-09,421.21,419.61,450.7,448.98
2021-09-10,421.53,416.3,451.04,445.44
2021-09-13,419.29,417.36,448.64,446.58
2021-09-14,418.8,415.11,448.12,444.17
2021-09-15,415.53,418.58,444.62,447.88
2021-09-16,418.06,417.92,447.32,447.17
2021-09-17,417.14,413.84,444.92,441.4
2021-09-20,407.73,406.94,434.88,434.04
2021-09-21,409.28,406.56,436.53,433.63
2021-09-22,408.83,410.53,436.05,437.86
2021-09-23,412.39,415.51,439.85,443.18
